Affiliation,Percentage of authors,Authors
Standford University,0.01%,1
Stanford,0.02%,3
Stanford Libraries,0.01%,1
Stanford University,0.22%,29
"Stanford University, UIT",0.01%,1
Staples,0.01%,1
StarBurst,0.01%,1
Stardust Consulting,0.01%,1
Stardust.com,0.01%,1
Starent Networks,0.04%,5
Stargazers Consulting,0.01%,1
State Services Commission,0.01%,1
Stateless,0.01%,1
StatusNet,0.01%,1
Stefan Vallin AB,0.01%,1
Stefano M. Faccin,0.01%,1
Steinberg Consulting,0.01%,1
Steinwurf ApS,0.02%,2
Stellar Development Foundation,0.02%,2
Stellar Switches,0.02%,2
Steltor,0.01%,1
Sterling Software/NASA IITA,0.01%,1
Steve Shultz,0.01%,1
Steve Uhlig,0.01%,1
Stewart Bryant,0.01%,1
Stichting Internet Domeinregistratie Nederland,0.02%,2
Stichting NLnet Labs,0.01%,1
Stirling,0.02%,2
STMicroelectronics,0.02%,3
Stockholm University,0.02%,2
Stockholm University and KTH,0.01%,1
Stockholm University/KT,0.01%,1
Stockholm University/KTH,0.01%,1
Stoke,0.02%,3
Stonecast,0.01%,1
Stonyfish,0.01%,1
Storigen,0.01%,1
Storigen Systems,0.01%,1
Storspeed,0.01%,1
Storvisor,0.01%,1
Strasbourg University,0.01%,1
Strategic Wealth Limited,0.02%,2
Stratix Consultancy bv,0.01%,1
Strato AG,0.01%,1
Stratumn,0.02%,2
Stratus Technologies,0.01%,1
Stripe,0.01%,1
Strix Systems,0.01%,1
Strolid,0.01%,1
Struik Consultancy,0.01%,1
Struik Security Consultancy,0.01%,1
STTRI,0.02%,3
STUPI,0.01%,1
STUPI.AB,0.01%,1
Styra,0.01%,1
STZ Elektronik,0.01%,1
SU,0.01%,1
Sublime Solutions,0.01%,1
Subset AB,0.01%,1
Sudarshan Naganathan,0.01%,1
SugarCRM,0.01%,1
Sun,0.12%,16
Sun Laboratories,0.02%,2
Sun Labs,0.02%,3
Sun Labs Europe,0.01%,1
SUN Microsystem,0.01%,1
Sun Microsystems,0.66%,88
Sun Microsystems Laboratories,0.03%,4
SUN YAT-SEN UNIVERSITY,0.05%,6
Suncorp,0.01%,1
Sunderland University,0.01%,1
SUNET,0.02%,2
SUNET/NORDUnet,0.01%,1
Sung Kyun Kwan University,0.01%,1
Sungard Availability Services,0.01%,1
Sungkyunkwan Univ./ETRI,0.01%,1
Sungkyunkwan University,0.11%,15
Sunil Iyengar,0.01%,1
Sunil Jagannath,0.01%,1
Sunil Mahajan,0.01%,1
SunRocket,0.01%,1
Sunspot Graphics,0.01%,1
SUNY,0.01%,1
SUNY Buffalo,0.01%,1
Support Vectors,0.01%,1
SupportVectors,0.01%,1
Supra Research,0.01%,1
Surety Technologies,0.01%,1
Surevine,0.01%,1
Surevine Limited,0.01%,1
SURFnet,0.04%,5
SURFnet bv,0.04%,5
SURFnet ExpertiseCentrum bv,0.02%,2
Surrey alumni,0.01%,1
Suse,0.01%,1
SUSE Labs,0.01%,1
Swedish Defence Material Administration (FMV),0.01%,1
Swedish Institute of Computer,0.02%,2
Swedish Museum of Natural History,0.01%,1
Swedish University Network,0.01%,1
SWIFT,0.02%,2
Swinburne University,0.01%,1
Swinburne University of,0.01%,1
Swinburne University of Technology,0.02%,2
Swiss Federal Institute of,0.02%,2
Swisscom,0.07%,9
Swisscom Schweiz AG,0.02%,2
Swisscom Schweiz AG Network,0.01%,1
SWITCH,0.05%,6
Sxip Identity,0.01%,1
Sybase,0.01%,1
Sycamore Networks,0.01%,1
Sylantro Systems,0.02%,3
Sylantro Systems Corp,0.02%,2
Sylantro Systems Corp.,0.02%,2
Symantec,0.05%,6
Symantec Corp.,0.01%,1
Symantec Corporation,0.06%,8
Symas Corp.,0.02%,2
Symmetricom,0.02%,2
Symonics,0.01%,1
Sympotech,0.01%,1
Sync Research,0.01%,1
Syndeno,0.01%,1
Synelixis,0.01%,1
Synopsys,0.02%,2
Synoptics,0.01%,1
SynOptics Communications,0.01%,1
Synterra-Ural,0.01%,1
SYRACOM Consulting AG,0.01%,1
Syrian Telecom Establishment,0.01%,1
Systems,0.01%,1
Syzygy,0.01%,1
Szechenyi Istvan University,0.01%,1
Széchenyi István University,0.01%,1
T-Labs/TU-Berlin,0.01%,1
T-Mobile,0.01%,1
T-Mobile Austria,0.01%,1
T-Mobile CZ,0.01%,1
T-Mobile US,0.01%,1
T-Mobile USA,0.01%,1
T-Nova,0.02%,2
T-Systems,0.02%,2
T-Systems Enterprise Services,0.01%,1
T-Systems International,0.02%,3
T-Systems Nordic,0.01%,1
T-Systems Nova,0.02%,2
T. Fujiyama,0.02%,2
T. Grant,0.01%,1
T. He,0.01%,1
T. Maufer,0.01%,1
T. Perrin,0.01%,1
T. Ue,0.01%,1
T. Yas'ur,0.01%,1
T.I.A.,0.01%,1
T.J. Watson Research Center,0.02%,3
T.V.Lakshman,0.02%,2
Tableau Software,0.01%,1
Tachion Networks,0.01%,1
Tachyon Dynamics,0.01%,1
Tactical Software,0.01%,1
Tahoe Networks,0.02%,2
Tail-F,0.01%,1
Tail-f Systems,0.01%,1
Talari Networks,0.01%,1
Talarian,0.01%,1
Talarian Corporation,0.01%,1
Taler Systems SA,0.01%,1
Taligent,0.02%,2
Tallac Networks,0.01%,1
Tampere University,0.01%,1
Tampere University of Technology,0.05%,7
Tamura Corp.,0.01%,1
Tana,0.01%,1
TANDBERG,0.05%,6
TANDBERG Television,0.01%,1
Tandem Computers,0.02%,2
TARI,0.02%,3
Tarsnap,0.01%,1
Tata Communications,0.02%,3
Tata Consultancy Services,0.07%,9
Tattam Software Enterprises Pty,0.01%,1
Tatyana Ryutov,0.01%,1
TAU,0.01%,1
Taughannock Networks,0.01%,1
Tavendo,0.02%,2
TBD,0.01%,1
TBT,0.01%,1
TC 26,0.02%,2
TCB,0.01%,1
TCE,0.02%,2
TCI,0.01%,1
TCINET,0.01%,1
tComLabs,0.01%,1
TCS,0.02%,3
TCS R&I,0.02%,3
TCS/Nokia Siemens Networks,0.01%,1
TCSL,0.01%,1
TDC Oy,0.01%,1
TDP,0.02%,2
Team Cymru,0.01%,1
"Team Digitale, Italian Government",0.01%,1
Tecent,0.01%,1
Tech Mahindra,0.01%,1
Tech-invite,0.01%,1
Tech. Univ. of Catalonia/i2CAT,0.01%,1
Tech. Univ. of Sofia.,0.01%,1
Technical Centre of Internet,0.01%,1
Technical University,0.01%,1
Technical University Berlin,0.05%,6
Technical University Braunschweig,0.02%,3
Technical University Darmstadt,0.01%,1
Technical University Muenchen,0.02%,2
Technical University Munich,0.03%,4
Technical University of Berlin,0.01%,1
Technical University of Catalonia,0.06%,8
Technical University of Liberec,0.01%,1
Technical University of Munich,0.05%,6
Technical University of Vienna,0.01%,1
Technicalities,0.01%,1
Technico Lisboa,0.01%,1
Technicolor,0.02%,2
Technion,0.02%,3
Technion IIT,0.01%,1
Technische Universitaet Berlin,0.01%,1
Technische Universitaet Chemnitz,0.01%,1
Technische Universitaet Muenchen,0.05%,6
Technische Universiteit Delft,0.02%,2
Technische Universität Berlin,0.01%,1
Technische Universität Ilmenau,0.02%,2
Technoinfo Service,0.01%,1
Technological Concepts,0.01%,1
Technologies,0.01%,1
Technology Nexus,0.01%,1
Tecnalia,0.01%,1
TEI Consortium and INRIA,0.01%,1
TEI of Chalkida,0.02%,3
TEI of Mesolonghi,0.01%,1
TEI of Thessaloniki,0.01%,1
TEIHAL,0.01%,1
Tekelec,0.11%,15
Teklibre,0.02%,3
TekSavvy Solutions,0.01%,1
Tektronix,0.01%,1
Tektronix Communications,0.01%,1
Tektronix Communications Berlin,0.01%,1
Tel Aviv University,0.01%,1
Telchemy,0.02%,2
Telchemy Incorporated,0.02%,2
Telco Research Corporation,0.01%,1
Telcordia,0.09%,12
Telcordia Technologies,0.17%,23
Tele2,0.02%,2
Tele2/Swipnet,0.01%,1
Telebit Corporation,0.02%,2
Telecentro,0.01%,1
Telecom Bretagne,0.12%,16
Telecom Finland,0.01%,1
Telecom Italia,0.21%,28
Telecom Italia - TIM,0.02%,3
Telecom Italia Lab,0.02%,2
Telecom Italia Labs,0.01%,1
Telecom Italia S.p.A,0.01%,1
Telecom Paris,0.04%,5
Telecom ParisTech,0.03%,4
Telecom Sud Paris,0.01%,1
Telecom SudParis,0.05%,6
Telecomitalia Lab,0.01%,1
TeleCommunication Systems,0.01%,1
Teledesic,0.01%,1
TeleFLASH,0.01%,1
Telefonica,0.14%,19
Telefonica GCTO,0.01%,1
Telefonica Global CTO,0.01%,1
Telefonica I+D,0.06%,8
Telefonica I+D/GCTO,0.01%,1
Telefonica Innovacion Digital,0.01%,1
Telefonica Investigacion y Desarrollo,0.01%,1
Telefonica R&D,0.01%,1
"Telefonica, I+D",0.01%,1
Telefornica,0.02%,2
Teleinfo,0.02%,2
Telekom Innovation Laboratories,0.02%,3
Telekom Srbija,0.01%,1
Telematica Instituut,0.03%,4
Telenor,0.01%,1
Telenor ASA Digital Services,0.01%,1
Telenor R&D,0.01%,1
Telhoc,0.01%,1
Telia,0.03%,4
Telia CERT,0.01%,1
Telia Finland,0.01%,1
Telia Network Services,0.02%,2
Telia ProSoft,0.01%,1
Telia Research,0.04%,5
TeliaSonera,0.07%,9
TeliaSonera Corporation,0.01%,1
Telio,0.02%,2
Tellabs,0.10%,13
Tellabs Oy,0.01%,1
Tellabs Sinimaentie,0.01%,1
Tellique,0.01%,1
Tellique Kommunikationstechnik,0.01%,1
Tellium,0.02%,3
Tellme Networks,0.01%,1
Tello Corporation,0.01%,1
Telnic,0.02%,2
Telseon,0.01%,1
Telstra,0.06%,8
Telstra Corp.,0.01%,1
Telstra Corporation,0.03%,4
Telstra Internet,0.01%,1
Teltec UCD-CS,0.02%,3
TELUS,0.02%,3
Telus Communications,0.02%,2
Telverse Communications,0.01%,1
TelVGG,0.01%,1
Tempered Networks,0.01%,1
Temple University,0.02%,3
Temporary RFC Series Project Manager,0.02%,2
Tencent,0.17%,22
Tencent America,0.01%,1
Tencent Company,0.01%,1
Tencent Holdings,0.01%,1
Tenet Technologies,0.01%,1
Tennessee Tech University,0.01%,1
Tenor Networks,0.02%,2
Terabeam,0.02%,2
Terabeam Networks,0.02%,3
TeraCortex,0.01%,1
TeraOptic Networks,0.01%,1
TERENA,0.01%,1
Terisa Systems,0.01%,1
TerraByte Technology,0.01%,1
terrym.net pty,0.01%,1
Tesla,0.01%,1
Tessares,0.05%,7
Texas A&M,0.01%,1
Texas A&M University,0.03%,4
Texas Instruments,0.02%,2
Texas Tech University,0.02%,2
Textuality,0.01%,1
Textuality Services,0.01%,1
TGC,0.01%,1
Thales,0.01%,1
Thales Alenia Space,0.02%,3
Thales Communication France,0.01%,1
Thales Communications,0.01%,1
Thales Deutschland,0.01%,1
Thales eSecurity,0.01%,1
Thames Stanley,0.01%,1
Thammasat University,0.01%,1
The Abdus Salam ICTP,0.02%,2
The Aerospace Corporation,0.02%,2
The Anti-Phishing Working Group,0.01%,1
The Apache Software Foundation,0.02%,2
The Boeing Company,0.04%,5
The Branch Office,0.01%,1
The Catholic University of America,0.01%,1
The City College of New York,0.02%,3
The CommWorks Corp.,0.01%,1
The Cooper-Cain Group,0.01%,1
The Electric Loft,0.01%,1
The Elvey Partnership,0.01%,1
The Grateful Net,0.01%,1
The Hebrew Univ. of Jerusalem,0.03%,4
The Hebrew University of Jerusalem,0.01%,1
THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (GUANGZHOU),0.01%,1
The Hong Kong University of Science and Technology (Guangzhou),0.01%,1
The Industrial Lounge,0.01%,1
The Inner Net,0.01%,1
The Intercept,0.01%,1
The International ISBN Agency,0.01%,1
The Internet,0.01%,1
The Intertubes,0.01%,1
The IPv6 Company,0.01%,1
The Jabber.org Project,0.01%,1
The Johns Hopkins University,0.01%,1
The Johns Hopkins University Applied Physics Laboratory,0.02%,3
The Johns Hopkins University Applied Physics Laboratory,0.03%,4
The Linux Foundation,0.01%,1
The Matrix.org Foundation C.I.C.,0.02%,2
The Measurement Factory,0.01%,1
The MITRE,0.01%,1
The MITRE Corp.,0.01%,1
The MITRE Corporation,0.23%,31
The Monitoring Plugins Project,0.01%,1
The Mozilla Foundation,0.02%,2
The National Library of Finland,0.02%,2
The NetBSD Project,0.01%,1
The Ogg Vorbis Community,0.01%,1
The Ohio State University,0.02%,2
The Open Healthcare Group,0.01%,1
The OpenBSD Project,0.01%,1
The Pennsylvania State University,0.01%,1
The Resource Group,0.02%,2
The Road,0.01%,1
The Royal Library,0.01%,1
The SANS Institute,0.01%,1
The Swedish Internet Foundation,0.02%,3
The Technical center of Internet,0.01%,1
The Tor Project,0.02%,2
The Univ. of Tokyo,0.01%,1
The University of Adelaide,0.01%,1
The University of Arizona,0.03%,4
The University of Auckland,0.02%,3
The University of Chicago,0.01%,1
The University of Edinburgh,0.01%,1
The University of Manchester,0.01%,1
The University of Memphis,0.01%,1
The University of Minnesota at Duluth,0.01%,1
The University of New South Wales,0.01%,1
The University of Tokyo,0.05%,6
The University of Tokyo/WIDE Project,0.01%,1
The UUCP Mapping Project,0.01%,1
The Varnish Cache Project,0.01%,1
The Virtual Workshop,0.01%,1
The XWT Foundation,0.01%,1
Theale Volunteer Networking Group,0.02%,2
THEO Technologies,0.01%,1
Theodore Ts'o,0.01%,1
TheSoul Publishing,0.01%,1
Thierry Technologies,0.01%,1
ThingMagic,0.01%,1
Thinking Cat,0.01%,1
Thinking Cat Enterprises,0.01%,1
Thinking Machines Corp.,0.01%,1
ThinkingCat Enterprises,0.01%,1
ThinLink Solutions,0.01%,1
This Space For Sale,0.01%,1
Thomas Duryea Consulting,0.01%,1
THOMSON,0.02%,2
Thomson Reuters,0.02%,3
ThoughtSpot,0.01%,1
Thrane & Thrane,0.01%,1
ThreatSTOP,0.01%,1
ThresholdSecrets.com,0.01%,1
THU,0.01%,1
THUS plc,0.01%,1
THUS plc.,0.01%,1
Thycotic,0.01%,1
TIA,0.01%,1
TIAA-CREF,0.01%,1
Tiara Networks,0.01%,1
TIBCO,0.01%,1
TIBCO Software,0.01%,1
TIC Systems,0.01%,1
TID,0.03%,4
TILAB,0.02%,3
Tiledmedia,0.01%,1
TIM,0.02%,2
Tim Moore,0.01%,1
TIM S.p.A,0.01%,1
Time Warner Cable,0.05%,7
Timee,0.01%,1
TimeStep,0.01%,1
TimeStep Corp.,0.01%,1
TimeStep Corporation,0.02%,2
TiMetra,0.01%,1
TiMetra Networks,0.01%,1
Ting Cai,0.01%,1
TinySSH,0.01%,1
TIS,0.04%,5
TIS Labs,0.02%,2
TIS Labs at Network Associates,0.02%,3
TISF,0.01%,1
TISLabs,0.01%,1
Tivoli Systems,0.01%,1
Tivoli Systems.,0.01%,1
TJM Consulting,0.01%,1
TKK,0.02%,3
TKK Netlab,0.01%,1
TmaxSoft,0.01%,1
TMSP,0.02%,2
TNO,0.06%,8
TNO ICT,0.01%,1
TNO Netherlands,0.04%,5
TNS,0.02%,3
Tohoku Institute of Technology,0.02%,2
Tohoku University,0.03%,4
Tokai Univ,0.01%,1
Tokai University and University of,0.01%,1
TokBox,0.01%,1
Tokyo Electric Power Company,0.02%,2
Tokyo Institute of Technology,0.01%,1
Tokyo University of Agriculture and Technology,0.01%,1
TokyoFM Broadcasting,0.01%,1
Tom Taylor,0.01%,1
Tom Towle,0.01%,1
Tomlinson Group,0.01%,1
Tongji University,0.08%,11
Tongji/Yale,0.01%,1
Tongji/Yale University,0.03%,4
Tonian,0.01%,1
TopSpin,0.01%,1
Tor,0.01%,1
Tor Project,0.02%,3
Torrent Networking Technologies,0.01%,1
Torrent Networks,0.01%,1
Toshiba,0.10%,13
Toshiba America Research,0.04%,5
Toshiba Corp,0.01%,1
Toshiba Corp.,0.03%,4
Toshiba Corporation,0.05%,7
Toshiba R&D Center,0.08%,10
Toshiba Research America,0.01%,1
Toshiba TEC,0.01%,1
TowerSec,0.01%,1
TOYO Communication Equipment,0.03%,4
TOYOCOM,0.01%,1
Toyohashi University of Technology,0.01%,1
Toyota ITC,0.03%,4
Toyota ITC/Keio Univ.,0.01%,1
Toyota Motor Corporation,0.01%,1
TQSD Technische Universität München,0.03%,4
TR-Sys,0.01%,1
TRAB,0.02%,2
TraceRoute Security,0.01%,1
TradeWave,0.01%,1
Transactionware,0.01%,1
"Transcore, LP",0.01%,1
Transfinite Systems Company,0.01%,1
TransIP,0.01%,1
Transloadit,0.01%,1
Transmode,0.01%,1
Transmute,0.01%,1
TransNexus,0.02%,2
Transpacket,0.01%,1
TransUnion,0.01%,1
Transwitch,0.02%,2
TranSwitch Corporation,0.01%,1
TranTech/MediaSolv,0.01%,1
Trapeze Networks,0.01%,1
TrasnUnion,0.01%,1
Travelping,0.01%,1
Treasury Board of Canada,0.01%,1
Treehouse Networks,0.01%,1
TrekAhead,0.01%,1
Trend Micro,0.02%,3
TrendMicro,0.01%,1
Trevilon,0.01%,1
Triangle Video,0.01%,1
Tridea Works,0.01%,1
Tridium,0.01%,1
Trilliant Networks,0.01%,1
Trinity College,0.01%,1
Trinity College Dublin,0.03%,4
"Trinity College, Dublin",0.01%,1
Tripwire,0.01%,1
Trlokom,0.01%,1
Troika Networks,0.01%,1
Troll Technologies,0.01%,1
Trolltech AS,0.01%,1
Tropic Networks,0.02%,2
Tropo,0.01%,1
Tropos Networks,0.02%,2
true,0.01%,1
Truphone,0.01%,1
TruSecure,0.01%,1
Trusted Information Consulting,0.02%,2
Trusted Information Systems,0.05%,6
Trustpoint,0.01%,1
TrustPoint Innovation Technologies,0.02%,2
TRW,0.01%,1
Tsinghua,0.02%,3
Tsinghua Univ.,0.11%,15
Tsinghua University,0.74%,98
Tsinghua University/Baidu,0.01%,1
Tsinghua University/Yale,0.01%,1
tti (telecom technologies inc.),0.01%,1
TTTech Computertechnik AG,0.01%,1
TU Berlin,0.08%,10
TU Braunschweig,0.02%,3
TU Darmstadt,0.01%,1
TU Delft,0.03%,4
TU Dresden,0.01%,1
TU Eindhoven,0.01%,1
TU Korea,0.01%,1
TU Muenchen,0.05%,6
TU Munich,0.01%,1
TU Wien,0.04%,5
TU-BS,0.01%,1
Tucows,0.01%,1
TUD Dresden University of Technology,0.02%,3
TUD Dresden University of Technology & Barkhausen Institut,0.01%,1
TUE,0.01%,1
TUM,0.01%,1
Tumbleweed,0.01%,1
TUPILAQ Arctica,0.01%,1
TurboBridge,0.01%,1
Turk Telekom A.S.,0.01%,1
Turku Polytechnic,0.01%,1
Turnip Video,0.01%,1
TUT,0.01%,1
Tut Systems,0.01%,1
Tutpro,0.01%,1
TW,0.01%,1
TW Cable,0.01%,1
TW Telecom,0.01%,1
Tweede golf B.V.,0.02%,3
Twelve Dot Systems,0.01%,1
Twilio,0.02%,2
Twist,0.01%,1
Twitch,0.02%,3
Twitter,0.04%,5
TWNIC,0.03%,4
Two Sigma,0.01%,1
TWS,0.01%,1
TZI,0.02%,2
"TZI, Universitaet Bremen",0.02%,3
TZI/Uni Bremen,0.02%,2
U Chicago,0.01%,1
U of Tuebingen,0.01%,1
U S WEST Advanced Technologies,0.01%,1
U Washington,0.01%,1
u-blox UK,0.01%,1
U. catholique de Louvain,0.01%,1
U. Chicago,0.02%,2
U. College London,0.01%,1
U. Delaware,0.01%,1
U. Michigan,0.01%,1
U. of California,0.01%,1
U. of Lancaster,0.01%,1
U. of North Carolina,0.01%,1
U. of Patras,0.01%,1
U. Of Pennsylvania,0.02%,2
U. of Twente,0.01%,1
U. Politechnica of Bucharest,0.01%,1
U. Politecnica Catalunya,0.01%,1
U. S. Bank,0.01%,1
U. St Andrews,0.01%,1
U.C. Berkeley,0.02%,2
U.C. Irvine,0.02%,2
U.C. Santa Cruz,0.01%,1
U.S. ARMY CECOM,0.01%,1
U.S. Army CERDEC,0.02%,3
U.S. Bank,0.01%,1
U.S. Department of Defense,0.01%,1
U.S. Naval Research Laboratory,0.01%,1
U.S. NIST,0.01%,1
U.S. Satellite Broadcasting,0.01%,1
U3CM,0.01%,1
UA partners,0.01%,1
UAB,0.02%,2
Uber,0.01%,1
Uber Technologies,0.02%,2
Ubique/Lotus,0.02%,2
Ubiquitous Network Research Center,0.01%,1
Ubiquity,0.01%,1
Ubiquity Software,0.01%,1
Ubiquity Software Corporation,0.01%,1
UbiTech,0.01%,1
UC Berkeley,0.14%,19
UC Davis,0.04%,5
UC Irvine,0.02%,3
UC Louvain,0.01%,1
UC Riverside,0.01%,1
UC San Diego,0.02%,2
UC Santa Cruz,0.02%,2
UC--Santa Barbara,0.01%,1
UC-Santa Barbara,0.01%,1
UC3M,0.11%,14
UCAS,0.01%,1
UCBL/ENS-Lyon,0.01%,1
UCI,0.01%,1
UCL,0.12%,16
"UCL, Belgium",0.02%,2
UCL/INGI,0.02%,2
UCLA,0.17%,23
UCLA IRL,0.02%,2
UCLA REMAP,0.01%,1
UCLouvain,0.12%,16
UCLouvain & WEL RI,0.02%,2
UCLouvain & WELRI,0.02%,3
UCLouvain and Tessares,0.01%,1
UCLouvain and WELRI,0.01%,1
"UCLouvain, Belgium",0.04%,5
"UCLouvain, WEL RI",0.01%,1
UCO/Lick Observatory,0.01%,1
Ucom.ch,0.01%,1
UCSB,0.01%,1
UCSD,0.02%,2
UDcast,0.02%,2
UDel,0.01%,1
UdelaR,0.01%,1
Uecomm,0.01%,1
UESTC,0.06%,8
UFRGS,0.01%,1
UFRJ,0.01%,1
UGent,0.02%,2
UIUC,0.02%,2
UK CPNI,0.01%,1
"UK Dept. for Science, Innovation & Technology",0.02%,2
UK National Cyber Security Centre,0.02%,3
UK Safer Internet Centre,0.01%,1
UKLO Tczew,0.01%,1
ULB,0.01%,1
ULB-STC,0.02%,2
ULD,0.01%,1
ULD Kiel,0.01%,1
ULiege,0.01%,1
Ulticom,0.02%,2
UltraDNS,0.01%,1
UMass-Amherst,0.01%,1
UMD,0.02%,2
Umea University,0.01%,1
UMICH,0.01%,1
UMKC,0.02%,2
UML,0.01%,1
UMons,0.01%,1
UN-ESCWA,0.02%,2
Unabhaengiges Landeszentrum,0.02%,2
Unabiz (Sigfox),0.01%,1
Unaffiliated,0.43%,57
UNBC,0.02%,3
UnboundID,0.01%,1
UNC-CH,0.01%,1
UNCC,0.01%,1
Uncloud,0.01%,1
Undatech,0.01%,1
Underscore,0.01%,1
Unfix/SixXS,0.01%,1
Ungermann-Bass,0.01%,1
UNH,0.01%,1
UNH-IOL,0.02%,2
Uni Bremen TZI,0.02%,2
UNI-KLU,0.01%,1
Uni. of Aberdeen,0.01%,1
Uni. of Adelaide,0.01%,1
Uni. of Glasgow,0.01%,1
Unicamp,0.03%,4
UNICAMP-SP-BRAZIL,0.01%,1
UNICEN,0.01%,1
Unicode Consortium,0.01%,1
Unify,0.02%,2
Unify / Atos,0.01%,1
Unina,0.02%,2
UNINETT,0.05%,7
UnionPay,0.02%,2
UNIRC,0.01%,1
Uniregistry,0.01%,1
Uniregistry Corp.,0.01%,1
UNISINOS,0.01%,1
Unisphere Networks,0.01%,1
Unisphere Solutions,0.03%,4
Unisys,0.01%,1
United International University,0.01%,1
United International University/CSE,0.01%,1
United Kingdom,0.01%,1
United States National Security Agency,0.01%,1
UniUD,0.03%,4
Univ IL,0.01%,1
Univ of Essex,0.01%,1
Univ of Texas,0.01%,1
Univ of Washington,0.01%,1
Univ. Aveiro,0.01%,1
Univ. Bremen,0.02%,2
Univ. College London,0.01%,1
Univ. Erlangen,0.02%,2
Univ. Goettingen,0.06%,8
Univ. Malaga,0.01%,1
Univ. of Wuerzburg,0.01%,1
Univ. of Amsterdam,0.01%,1
Univ. of Applied Sciences Muenster,0.01%,1
Univ. of Arizona,0.03%,4
Univ. of Auckland,0.02%,3
Univ. of Bupt.,0.02%,2
Univ. of California,0.01%,1
Univ. of Erlangen-Nuernberg,0.02%,3
Univ. of Illinois,0.01%,1
Univ. of Karlsruhe,0.02%,3
Univ. of Memphis,0.02%,2
Univ. of Michigan,0.01%,1
Univ. of Missouri-Kansas City,0.02%,2
Univ. of Murcia,0.01%,1
Univ. of North Texas,0.01%,1
Univ. of Oulu,0.01%,1
Univ. of Parma,0.01%,1
Univ. of Rome Tor Vergata,0.02%,2
Univ. of Rome Tor Vergata / CNIT,0.01%,1
Univ. of Rome Tor Vergata/CNIT,0.01%,1
Univ. of Saarbruecken,0.01%,1
Univ. of Sci. and Tech. Beijing,0.01%,1
Univ. of Soongsil,0.02%,2
Univ. of Southampton,0.01%,1
Univ. of Tokyo,0.03%,4
Univ. of Tuebingen,0.01%,1
Univ. of Tuebingen/ICSI,0.01%,1
Univ. of Washington,0.01%,1
Univ. of Wisconsin Milwaukee,0.01%,1
Univ. of Wisconsin-Madison,0.01%,1
Univ. Pisa,0.01%,1
Univ. Politecnica de Madrid,0.02%,2
Univ. Politehnica of Bucharest,0.01%,1
Univ. Queensland,0.01%,1
Univ. Tuebingen,0.01%,1
Univ.of BUPT,0.02%,3
Universidad Autonoma de Madrid,0.02%,2
Universidad Carlos III de Madrid,0.02%,2
Universidad Carlos III de Madrid,0.04%,5
Universidad Carlos III Madrid,0.01%,1
Universidad de Buenos Aires,0.03%,4
Universidad de Buenos Aires - CONICET,0.01%,1
Universidad de Chile,0.01%,1
Universidad de Los Andes,0.01%,1
Universidad de Sevilla,0.02%,2
Universidad de Valladolid,0.01%,1
Universidad Diego Portales,0.02%,2
Universidad Nacional del Litoral,0.02%,2
Universidad Nueva Esparta,0.01%,1
Universidad Politecnica de,0.01%,1
Universidad Politecnica de Madrid,0.01%,1
Universidad Politecnica de Valencia,0.02%,2
Universidade de Aveiro,0.02%,3
Universidade Federal do ABC,0.01%,1
Universita degli studi dell Insubria,0.01%,1
"Universita di Roma ""Tor Vergata""",0.01%,1
Universitaet Bielefeld,0.01%,1
Universitaet Bremen,0.02%,3
Universitaet Bremen TZI,0.06%,8
Universitaet der Bundeswehr Muenchen,0.02%,2
Universitaet Duisburg-Essen,0.01%,1
Universitaet Karlsruhe,0.02%,3
Universitaet Klagenfurt,0.01%,1
Universitaet Regensburg,0.01%,1
Universitaet Tuebingen,0.03%,4
Universitat Oberta de Catalunya,0.02%,3
Universitat Politecnica de,0.02%,3
Universitat Politecnica de Catalunya,0.06%,8
Universitat Politecnica de Catalunya/Fundacio i2CAT,0.02%,2
Universitat Politecnica de Catalunya/i2CAT,0.01%,1
Universitat Politècnica de Catalunya,0.01%,1
Universitat Pompeu Fabra,0.02%,2
Universite catholique de,0.01%,1
Universite catholique de Louvain,0.08%,10
Universite de Liege,0.01%,1
Universite de Sherbrooke,0.02%,2
Universite Moulay Ismail,0.01%,1
Universite Savoie Mont Blanc,0.01%,1
Universiti Sains Malaysia,0.02%,3
University,0.01%,1
University Carlos III of Madrid,0.02%,2
University College Dublin,0.01%,1
University College London,0.14%,19
"University Computing Centre, University of Zagreb (SRCE)",0.01%,1
University Defense Center,0.01%,1
University for Applied Sciences Munich,0.01%,1
University Nice Sophia Antipolis,0.01%,1
University of,0.01%,1
University of Basel,0.02%,3
University of Michigan,0.02%,2
University of A Coruna,0.01%,1
University of Aberdeen,0.06%,8
University of Amsterdam,0.02%,3
University of Applied Sciences,0.02%,2
University of Applied Sciences and Arts Northwestern Switzerland,0.01%,1
University of Applied Sciences Augsburg,0.03%,4
University of Applied Sciences Darmstadt,0.01%,1
University of Applied Sciences Emden/Leer,0.01%,1
University of Arizona,0.02%,3
University of Athens,0.02%,2
University of Auckland,0.02%,2
University of Aveiro,0.01%,1
University of Basel,0.04%,5
University of Bologna,0.03%,4
University of Bonn,0.02%,3
University of Bradford,0.02%,2
University of Bremen,0.02%,3
University of BUPT,0.02%,2
University of California,0.13%,17
University of California at Berkeley,0.02%,2
University of California Berkeley,0.02%,3
University of California Irvine,0.01%,1
"University of California, Berkeley",0.01%,1
"University of California, Los Angeles",0.01%,1
